Name,BSE Code,NSE Code,Industry Group,Industry
Ontic Finserve,540386,,Finance,Other Financial Services
Electronics Mart,543626,EMIL,Retailing,Diversified Retail
VMS TMT,544521,VMSTMT,Industrial Products,Iron & Steel Products
Ludlow Jute,526179,,"Paper, Forest & Jute Products",Jute & Jute Products
Daulat Securitie,530171,,Finance,Other Financial Services
JTL Industries,534600,JTLIND,Industrial Products,Iron & Steel Products
Multipurpose Trd,504356,,Commercial Services & Supplies,Diversified Commercial Services
Gujarat Poly,517288,,Electrical Equipment,Other Electrical Equipment
Paisalo Digital,532900,PAISALO,Finance,Non Banking Financial Company (NBFC)
Vertexplus Tech.,,VERTEXPLUS,IT - Services,IT Enabled Services
MRC Agrotech,540809,,Commercial Services & Supplies,Trading & Distributors
Radhika Jeweltec,540125,RADHIKAJWE,Consumer Durables,"Gems, Jewellery And Watches"
Sharp India,523449,,Consumer Durables,Consumer Electronics
Jhaveri Credits,531550,,Finance,Other Financial Services
Ganga Papers,531813,,"Paper, Forest & Jute Products",Paper & Paper Products
AVP Infracon,,AVPINFRA,Construction,Civil Construction
Saurashtra Cem.,502175,SAURASHCEM,Cement & Cement Products,Cement & Cement Products
Swelect Energy,532051,SWELECTES,Electrical Equipment,Heavy Electrical Equipment
Campus Activewe.,543523,CAMPUS,Consumer Durables,Footwear
Responsive Ind,505509,RESPONIND,Consumer Durables,"Furniture, Home Furnishing"
UVS Hospitality,531652,,Finance,Non Banking Financial Company (NBFC)
Slone Infosys.,,SLONE,IT - Hardware,Computers Hardware & Equipments
Adit.Birla Money,532974,BIRLAMONEY,Capital Markets,Stockbroking & Allied
RDB Infrastruc.,533285,,Realty,"Residential, Commercial Projects"
Repro India,532687,REPRO,Printing & Publication,Printing & Publication
Saraswati Commer,512020,,Finance,Non Banking Financial Company (NBFC)
Optiemus Infra.,530135,OPTIEMUS,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Wendt India,505412,WENDT,Industrial Products,Abrasives & Bearings
Diamines & Chem.,500120,DIAMINESQ,Chemicals & Petrochemicals,Specialty Chemicals
T B Z,534369,TBZ,Consumer Durables,"Gems, Jewellery And Watches"
BMW Industries,542669,,Industrial Products,Iron & Steel Products
The Ravalgaon,507300,,Agricultural Food & other Products,Sugar
Beryl Drugs,524606,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Transvoy Logist.,543754,,Transport Services,Logistics Solution Provider
Donear Inds.,512519,DONEAR,Textiles & Apparels,Other Textile Products
Naga Dhunseri,,NDGL,Finance,Non Banking Financial Company (NBFC)
Ircon Intl.,541956,IRCON,Construction,Civil Construction
Stovec Inds.,504959,,Industrial Manufacturing,Industrial Products
XT Global Infot.,531225,XTGLOBAL,IT - Software,Computers - Software & Consulting
Saroja Pharma In,,SAROJA,Chemicals & Petrochemicals,Specialty Chemicals
Sheshadri Indus.,539111,,Textiles & Apparels,Other Textile Products
Norris Medicines,524414,,Commercial Services & Supplies,Trading & Distributors
Ashoka Buildcon,533271,ASHOKA,Construction,Civil Construction
We Win Ltd,543535,WEWIN,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Shakti Pumps,531431,SHAKTIPUMP,Industrial Products,"Compressors, Pumps & Diesel Engines"
Atmastco Ltd,,ATMASTCO,Construction,Civil Construction
Swojas Foods,530217,,Food Products,Packaged Foods
Rose Merc.,512115,,Commercial Services & Supplies,Trading & Distributors
Pharmaids Pharma,524572,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Basant Agro Tech,524687,,Fertilizers & Agrochemicals,Fertilizers
Abirami Fin.,511756,,Finance,Non Banking Financial Company (NBFC)
Siddhi Cotspin,,SIDDHICOTS,Textiles & Apparels,Other Textile Products
Sri Ramakr. Mill,521178,,Textiles & Apparels,Other Textile Products
India Lease Dev.,500202,,Finance,Non Banking Financial Company (NBFC)
Master Trust,511768,MASTERTR,Capital Markets,Stockbroking & Allied
Vraj Iron,544204,VRAJ,Ferrous Metals,Sponge Iron
Genus Paper & Bo,538961,GENUSPAPER,"Paper, Forest & Jute Products",Paper & Paper Products
Asahi Songwon,532853,ASAHISONG,Chemicals & Petrochemicals,Dyes And Pigments
Alpa Laboratorie,532878,ALPA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Umiya Mobile,544464,,Retailing,Speciality Retail
Hariom Pipe,543517,HARIOMPIPE,Industrial Products,Iron & Steel Products
Highway Infra,544477,HILINFRA,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
GKW,,GKWLIMITED,Finance,Investment Company
Pearl Green Club,543540,,Agricultural Food & other Products,Other Agricultural Products
Indoco Remedies,532612,INDOCO,Pharmaceuticals & Biotechnology,Pharmaceuticals
Diensten Tech,,DTL,Commercial Services & Supplies,Diversified Commercial Services
AD Manum Finance,511359,,Finance,Non Banking Financial Company (NBFC)
Matrimony.com,540704,MATRIMONY,Retailing,Internet & Catalogue Retail
Dynavision,517238,,Commercial Services & Supplies,Diversified Commercial Services
Rungta Irrigatn.,530449,,Industrial Products,Plastic Products - Industrial
Ruparel Food,511740,,Food Products,Packaged Foods
Satia Industries,539201,SATIA,"Paper, Forest & Jute Products",Paper & Paper Products
MSP Steel & Pow.,532650,MSPL,Industrial Products,Iron & Steel Products
Bhatia Communic.,540956,,Retailing,Speciality Retail
Thacker & Co.,509945,,Finance,Other Financial Services
Krishca Strapp.,,KRISHCA,Industrial Products,Iron & Steel Products
Riddhi Display,544640,,Consumer Durables,Houseware
Veedol Corporat,590005,VEEDOL,Petroleum Products,Lubricants
TTK Prestige,517506,TTKPRESTIG,Consumer Durables,Household Appliances
MSTC,542597,MSTCLTD,Commercial Services & Supplies,Trading & Distributors
Grand Continent,,GCHOTELS,Leisure Services,Hotels & Resorts
Jyothy Labs,532926,JYOTHYLAB,Household Products,Household Products
Lak. Electrical,504258,,Electrical Equipment,Other Electrical Equipment
DCM Shriram Fine Chemicals,544703,DSFCL,Chemicals & Petrochemicals,Specialty Chemicals
RSWM Ltd,500350,RSWM,Textiles & Apparels,Other Textile Products
Veefin Solutions,543931,,IT - Services,IT Enabled Services
Flora Corporatio,540267,,Commercial Services & Supplies,Trading & Distributors
Star Imaging,544482,,Healthcare Services,Healthcare Service Provider
Orient Cement,535754,ORIENTCEM,Cement & Cement Products,Cement & Cement Products
Happy Square,,WHITEFORCE,Commercial Services & Supplies,Diversified Commercial Services
Agri-Tech India,537292,AGRITECH,Agricultural Food & other Products,Other Agricultural Products
Oswal Pumps,544418,OSWALPUMPS,Industrial Products,"Compressors, Pumps & Diesel Engines"
Rexpro Enter.,,REXPRO,Consumer Durables,"Furniture, Home Furnishing"
Shree OSFM,,SHREEOSFM,Transport Services,Road Transport
Snehaa Organics,,SNEHAA,Chemicals & Petrochemicals,Specialty Chemicals
R M Drip & Sprin,544456,RMDRIP,Industrial Products,Plastic Products - Industrial
Blue Jet Health,544009,BLUEJET,Pharmaceuticals & Biotechnology,Pharmaceuticals
Aelea Commoditi.,544213,,Agricultural Food & other Products,Other Agricultural Products
Country Condo,531624,COUNCODOS,Realty,"Residential, Commercial Projects"
Shradha Realty,,SHRADHA,Realty,"Residential, Commercial Projects"
Likhitha Infra.,543240,LIKHITHA,Construction,Civil Construction
Calcom Vision,517236,,Consumer Durables,Consumer Electronics
